Region,2013,2014,2015,2016,2017,2018,2019,2020,2021
Autonomous Republic of Crimea,44816,0,0,0,0,0,0,0,0
Vinnytsya,37323,37812,47609,55761,71930,87397,101720,109054,131077
Volyn,20609,20985,26049,31267,40043,47822,55793,59677,71769
Dnipropetrovsk,99995,105223,127830,143861,185230,240620,284178,299515,352743
Donetsk,135362,113343,91388,89036,106733,141559,165303,173775,200797
Zhytomyr,27405,27831,34799,41026,52753,64613,75974,80108,94183
Zakarpattya,22512,21840,28282,33812,42652,52083,60069,65579,75319
Zaporizhzhya,50545,53449,63841,75910,93942,111553,129046,139710,161818
Ivano-Frankivsk,29003,28139,36689,43807,55947,67015,77464,83361,97589
Kyiv,47216,49133,58767,69552,88379,115569,135274,143273,176978
Kirovohrad,21485,21605,26750,31746,40580,47900,54912,59775,69874
Luhansk,57527,44124,34594,30348,35814,45901,53544,58056,68059
Lviv,58762,59887,74919,89517,113883,142941,169534,183089,222523
Mykolayiv,27948,27362,34075,40363,51964,63024,72820,77858,94142
Odesa,61265,58096,77509,93463,119505,150412,179095,194579,228543
Poltava,37118,38078,46203,54362,69116,86746,101521,108707,130430
Rivne,24507,25266,31021,36374,46846,55845,64590,68294,81104
Sumy,26812,27007,34189,40014,50410,60736,70864,76337,91310
Ternopyl,20424,19718,25670,29954,38224,45717,52674,57706,69230
Kharkiv,71530,71841,87736,103509,130484,151480,177482,200899,242661
Kherson,23362,22183,29695,34913,43834,52318,60036,65277,77232
Khmelnytskiy,29865,29585,38015,44362,55848,64287,74239,81711,97050
Cherkasy,27353,27329,33642,39992,51304,61398,71503,76863,93117
Chernivtsi,17646,16798,21773,25780,32861,38721,44375,48711,57301
Chernihiv,25306,24509,29871,34534,43636,51874,59882,64762,74321
Kyiv city,159534,180513,221683,269030,346360,422794,513929,541215,666328
city Sevastopol,10227,0,0,0,0,0,0,0,0
